"name";"category";"order_id";"cost";"price_unit";"amount";"discount";"total_price"
Mouse Gamer 10000 DPI;Periféricos;61;50.00;100.00;2;0.00;200.00
Headset Gamer;Áudio;61;95.00;199.90;1;0.00;199.90
Hub USB 3.0;Acessórios;62;35.00;79.90;2;0.00;159.80
"Monitor 24"" Full HD";Monitores;63;400.00;650.00;1;0.00;650.00
Headset Gamer;Áudio;64;95.00;199.90;1;0.00;199.90
Mouse Gamer 10000 DPI;Periféricos;64;50.00;100.00;2;0.00;200.00
Cadeira Gamer;Móveis;65;450.00;899.90;1;0.00;899.90
"Monitor 24"" Full HD";Monitores;65;400.00;650.00;1;0.00;650.00
Mousepad Extra Large;Acessórios;65;25.00;60.00;2;0.00;120.00
Mouse Gamer 10000 DPI;Periféricos;66;50.00;100.00;2;0.00;200.00
Mousepad Extra Large;Acessórios;66;25.00;60.00;1;0.00;60.00
Headset Gamer;Áudio;67;95.00;199.90;1;43.90;156.00
Headset Gamer;Áudio;68;95.00;199.90;3;0.00;599.70
Webcam 1080p;Acessórios;69;90.00;150.00;1;0.00;150.00
Mouse Gamer 10000 DPI;Periféricos;70;50.00;100.00;1;24.62;75.38
Mousepad Extra Large;Acessórios;70;25.00;60.00;1;0.00;60.00
Webcam Full HD;Periféricos;70;85.00;179.90;1;0.00;179.90
Headset Gamer;Áudio;71;95.00;199.90;2;0.00;399.80
Mousepad Extra Large;Acessórios;72;25.00;60.00;1;0.00;60.00
Mousepad Extra Large;Acessórios;73;25.00;60.00;1;18.00;42.00
Headset Gamer;Áudio;73;95.00;199.90;1;0.00;199.90
Webcam Full HD;Periféricos;74;85.00;179.90;1;0.00;179.90
Headset Gamer;Áudio;74;95.00;199.90;1;0.00;199.90
Headset Gamer;Áudio;75;95.00;199.90;1;47.84;152.06
Teclado Mecânico RGB;Periféricos;76;120.00;180.00;1;0.00;180.00
Webcam Full HD;Periféricos;77;85.00;179.90;1;0.00;179.90
Headset Wireless;Áudio;77;150.00;220.00;1;35.94;184.06
Hub USB 3.0;Acessórios;78;35.00;79.90;1;16.21;63.69
Headset Gamer;Áudio;79;95.00;199.90;3;0.00;599.70
Teclado Mecânico;Periféricos;79;120.00;249.90;3;0.00;749.70
"Monitor 24"" Full HD";Monitores;80;400.00;650.00;1;0.00;650.00
Headset Wireless;Áudio;81;150.00;220.00;1;17.86;202.14
"Monitor 24"" Full HD";Monitores;82;400.00;650.00;1;0.00;650.00
Teclado Mecânico;Periféricos;83;120.00;249.90;1;42.48;207.42
Teclado Mecânico RGB;Periféricos;84;120.00;180.00;2;22.55;337.45
Cadeira Gamer;Móveis;85;450.00;899.90;2;0.00;1799.80
Webcam Full HD;Periféricos;85;85.00;179.90;1;0.00;179.90
Suporte para Monitor;Móveis;86;40.00;90.00;2;0.00;180.00
Teclado Mecânico RGB;Periféricos;87;120.00;180.00;1;0.00;180.00
Cadeira Ergonômica;Móveis;88;500.00;850.00;1;39.26;810.74
Suporte para Monitor;Móveis;89;40.00;90.00;1;27.00;63.00
Teclado Mecânico RGB;Periféricos;89;120.00;180.00;1;48.08;131.92
Webcam Full HD;Periféricos;90;85.00;179.90;1;0.00;179.90
"Monitor 24"" Full HD";Monitores;90;400.00;650.00;1;0.00;650.00
Hub USB 3.0;Acessórios;91;35.00;79.90;1;0.00;79.90
Cadeira Gamer;Móveis;91;450.00;899.90;3;6.16;2693.54
Headset Wireless;Áudio;92;150.00;220.00;1;0.00;220.00
Mouse Gamer 10000 DPI;Periféricos;92;50.00;100.00;1;0.00;100.00
Webcam Full HD;Periféricos;92;85.00;179.90;2;0.00;359.80
Headset Gamer;Áudio;93;95.00;199.90;1;0.00;199.90
Cadeira Ergonômica;Móveis;94;500.00;850.00;1;0.00;850.00
Headset Gamer;Áudio;95;95.00;199.90;1;0.00;199.90
Webcam 1080p;Acessórios;95;90.00;150.00;2;0.00;300.00
Mouse Gamer 10000 DPI;Periféricos;96;50.00;100.00;2;25.91;174.09
Webcam 1080p;Acessórios;96;90.00;150.00;1;0.00;150.00
Cadeira Ergonômica;Móveis;97;500.00;850.00;2;44.61;1655.39
Headset Wireless;Áudio;98;150.00;220.00;1;0.00;220.00
Hub USB 3.0;Acessórios;99;35.00;79.90;1;0.00;79.90
Webcam 1080p;Acessórios;100;90.00;150.00;1;0.00;150.00
Headset Gamer;Áudio;100;95.00;199.90;1;0.00;199.90
Webcam 1080p;Acessórios;101;90.00;150.00;1;13.67;136.33
Cadeira Gamer;Móveis;101;450.00;899.90;1;0.00;899.90
Webcam 1080p;Acessórios;102;90.00;150.00;1;0.00;150.00
Hub USB 3.0;Acessórios;102;35.00;79.90;1;0.00;79.90
Webcam 1080p;Acessórios;103;90.00;150.00;1;0.00;150.00
"Monitor 24"" Full HD";Monitores;104;400.00;650.00;1;0.00;650.00
Suporte para Monitor;Móveis;105;40.00;90.00;1;0.00;90.00
Mouse Gamer 10000 DPI;Periféricos;106;50.00;100.00;1;0.00;100.00
Headset Wireless;Áudio;107;150.00;220.00;1;0.00;220.00
Suporte para Monitor;Móveis;108;40.00;90.00;1;0.00;90.00
Hub USB 3.0;Acessórios;109;35.00;79.90;1;0.00;79.90
Headset Wireless;Áudio;110;150.00;220.00;1;5.12;214.88
Webcam 1080p;Acessórios;111;90.00;150.00;1;0.00;150.00
Headset Gamer;Áudio;112;95.00;199.90;1;0.00;199.90
Webcam Full HD;Periféricos;112;85.00;179.90;1;0.00;179.90
"Monitor 24"" Full HD";Monitores;113;400.00;650.00;2;0.00;1300.00
Hub USB 3.0;Acessórios;114;35.00;79.90;1;0.00;79.90
Webcam Full HD;Periféricos;115;85.00;179.90;1;0.00;179.90
Headset Gamer;Áudio;116;95.00;199.90;2;0.00;399.80
"Monitor 24"" Full HD";Monitores;117;400.00;650.00;1;0.00;650.00
Suporte para Monitor;Móveis;117;40.00;90.00;1;0.00;90.00
Cadeira Ergonômica;Móveis;118;500.00;850.00;1;12.24;837.76
Cadeira Gamer;Móveis;119;450.00;899.90;1;19.55;880.35
Teclado Mecânico;Periféricos;119;120.00;249.90;3;0.00;749.70
Teclado Mecânico RGB;Periféricos;119;120.00;180.00;1;0.00;180.00
Teclado Mecânico;Periféricos;120;120.00;249.90;1;0.00;249.90
"Monitor 24"" Full HD";Monitores;121;400.00;650.00;2;0.00;1300.00
Webcam Full HD;Periféricos;122;85.00;179.90;1;23.36;156.54
Headset Wireless;Áudio;122;150.00;220.00;1;0.00;220.00
"Monitor 24"" Full HD";Monitores;122;400.00;650.00;1;0.00;650.00
Hub USB 3.0;Acessórios;123;35.00;79.90;1;0.00;79.90
Headset Wireless;Áudio;124;150.00;220.00;2;0.00;440.00
Mousepad Extra Large;Acessórios;125;25.00;60.00;2;0.00;120.00
Cadeira Ergonômica;Móveis;125;500.00;850.00;2;18.44;1681.56
Suporte para Monitor;Móveis;126;40.00;90.00;1;0.00;90.00
Hub USB 3.0;Acessórios;127;35.00;79.90;1;23.97;55.93
Headset Wireless;Áudio;127;150.00;220.00;1;0.00;220.00
Headset Gamer;Áudio;128;95.00;199.90;1;27.60;172.30
"Monitor 24"" Full HD";Monitores;128;400.00;650.00;1;0.00;650.00
Teclado Mecânico RGB;Periféricos;129;120.00;180.00;1;0.00;180.00
Hub USB 3.0;Acessórios;129;35.00;79.90;1;0.00;79.90
"Monitor 24"" Full HD";Monitores;129;400.00;650.00;3;36.17;1913.83
Mousepad Extra Large;Acessórios;130;25.00;60.00;1;0.00;60.00
Cadeira Ergonômica;Móveis;130;500.00;850.00;1;0.00;850.00
Webcam 1080p;Acessórios;131;90.00;150.00;1;0.00;150.00
Headset Wireless;Áudio;131;150.00;220.00;1;0.00;220.00
Teclado Mecânico RGB;Periféricos;132;120.00;180.00;1;21.13;158.87
Cadeira Gamer;Móveis;132;450.00;899.90;1;23.54;876.36
Mousepad Extra Large;Acessórios;133;25.00;60.00;1;18.00;42.00
Webcam 1080p;Acessórios;134;90.00;150.00;1;0.00;150.00
Cadeira Ergonômica;Móveis;135;500.00;850.00;3;48.29;2501.71
Mousepad Extra Large;Acessórios;136;25.00;60.00;2;22.16;97.84
Headset Gamer;Áudio;137;95.00;199.90;1;43.93;155.97
Headset Wireless;Áudio;138;150.00;220.00;2;13.56;426.44
Webcam Full HD;Periféricos;138;85.00;179.90;1;0.00;179.90
Webcam 1080p;Acessórios;139;90.00;150.00;1;0.00;150.00
Suporte para Monitor;Móveis;139;40.00;90.00;1;0.00;90.00
Teclado Mecânico;Periféricos;140;120.00;249.90;2;0.00;499.80
Suporte para Monitor;Móveis;141;40.00;90.00;2;0.00;180.00
Webcam 1080p;Acessórios;141;90.00;150.00;1;0.00;150.00
Cadeira Ergonômica;Móveis;141;500.00;850.00;1;0.00;850.00
Mousepad Extra Large;Acessórios;142;25.00;60.00;1;0.00;60.00
Headset Gamer;Áudio;143;95.00;199.90;2;15.52;384.28
Headset Wireless;Áudio;144;150.00;220.00;1;0.00;220.00
Headset Gamer;Áudio;144;95.00;199.90;1;0.00;199.90
Mouse Gamer 10000 DPI;Periféricos;144;50.00;100.00;1;6.67;93.33
"Monitor 24"" Full HD";Monitores;145;400.00;650.00;1;0.00;650.00
Mousepad Extra Large;Acessórios;145;25.00;60.00;1;0.00;60.00
Suporte para Monitor;Móveis;146;40.00;90.00;1;0.00;90.00
Webcam Full HD;Periféricos;146;85.00;179.90;1;0.00;179.90
Headset Gamer;Áudio;147;95.00;199.90;1;0.00;199.90
Mouse Gamer 10000 DPI;Periféricos;148;50.00;100.00;2;0.00;200.00
Headset Wireless;Áudio;149;150.00;220.00;2;42.34;397.66
"Monitor 24"" Full HD";Monitores;149;400.00;650.00;1;0.00;650.00
Webcam Full HD;Periféricos;150;85.00;179.90;1;0.00;179.90
Teclado Mecânico RGB;Periféricos;150;120.00;180.00;3;0.00;540.00
"Monitor 24"" Full HD";Monitores;151;400.00;650.00;1;0.00;650.00
Teclado Mecânico RGB;Periféricos;151;120.00;180.00;1;16.94;163.06
Suporte para Monitor;Móveis;152;40.00;90.00;2;0.00;180.00
Cadeira Gamer;Móveis;152;450.00;899.90;1;0.00;899.90
Teclado Mecânico RGB;Periféricos;153;120.00;180.00;1;0.00;180.00
Suporte para Monitor;Móveis;154;40.00;90.00;2;11.68;168.32
Mouse Gamer 10000 DPI;Periféricos;154;50.00;100.00;1;0.00;100.00
Teclado Mecânico;Periféricos;155;120.00;249.90;1;0.00;249.90
Webcam 1080p;Acessórios;155;90.00;150.00;2;34.46;265.54
Suporte para Monitor;Móveis;155;40.00;90.00;2;0.00;180.00
Mousepad Extra Large;Acessórios;156;25.00;60.00;2;0.00;120.00
Cadeira Ergonômica;Móveis;156;500.00;850.00;1;19.06;830.94
Mouse Gamer 10000 DPI;Periféricos;157;50.00;100.00;1;30.00;70.00
Cadeira Gamer;Móveis;157;450.00;899.90;2;0.00;1799.80
Hub USB 3.0;Acessórios;157;35.00;79.90;1;0.00;79.90
Cadeira Gamer;Móveis;158;450.00;899.90;2;0.00;1799.80
Mousepad Extra Large;Acessórios;158;25.00;60.00;3;0.00;180.00
Headset Gamer;Áudio;159;95.00;199.90;1;0.00;199.90
Webcam Full HD;Periféricos;160;85.00;179.90;2;0.00;359.80
Headset Wireless;Áudio;160;150.00;220.00;3;0.00;660.00
Hub USB 3.0;Acessórios;161;35.00;79.90;1;0.00;79.90
Webcam 1080p;Acessórios;161;90.00;150.00;1;5.27;144.73
Teclado Mecânico RGB;Periféricos;161;120.00;180.00;2;0.00;360.00
Teclado Mecânico RGB;Periféricos;162;120.00;180.00;1;23.89;156.11
Mouse Gamer 10000 DPI;Periféricos;162;50.00;100.00;1;0.00;100.00
Teclado Mecânico RGB;Periféricos;163;120.00;180.00;1;0.00;180.00
Suporte para Monitor;Móveis;164;40.00;90.00;1;27.00;63.00
Webcam Full HD;Periféricos;164;85.00;179.90;1;0.00;179.90
Teclado Mecânico RGB;Periféricos;165;120.00;180.00;1;0.00;180.00
Headset Wireless;Áudio;165;150.00;220.00;1;14.51;205.49
Suporte para Monitor;Móveis;166;40.00;90.00;1;22.11;67.89
Cadeira Gamer;Móveis;167;450.00;899.90;1;0.00;899.90
Cadeira Ergonômica;Móveis;167;500.00;850.00;1;46.45;803.55
Hub USB 3.0;Acessórios;168;35.00;79.90;1;23.23;56.67
Mouse Gamer 10000 DPI;Periféricos;169;50.00;100.00;1;0.00;100.00
Mousepad Extra Large;Acessórios;169;25.00;60.00;1;0.00;60.00
Cadeira Gamer;Móveis;169;450.00;899.90;1;19.99;879.91
Teclado Mecânico;Periféricos;170;120.00;249.90;1;0.00;249.90
Headset Wireless;Áudio;171;150.00;220.00;1;39.16;180.84
Cadeira Gamer;Móveis;172;450.00;899.90;1;0.00;899.90
Webcam Full HD;Periféricos;172;85.00;179.90;1;0.00;179.90
Suporte para Monitor;Móveis;173;40.00;90.00;1;17.36;72.64
Suporte para Monitor;Móveis;174;40.00;90.00;1;0.00;90.00
Mousepad Extra Large;Acessórios;175;25.00;60.00;1;0.00;60.00
Cadeira Ergonômica;Móveis;176;500.00;850.00;1;7.78;842.22
Webcam Full HD;Periféricos;176;85.00;179.90;1;0.00;179.90
Headset Wireless;Áudio;177;150.00;220.00;1;0.00;220.00
Webcam 1080p;Acessórios;178;90.00;150.00;1;0.00;150.00
Mouse Gamer 10000 DPI;Periféricos;179;50.00;100.00;1;0.00;100.00
Cadeira Ergonômica;Móveis;179;500.00;850.00;1;0.00;850.00
Headset Gamer;Áudio;180;95.00;199.90;1;48.55;151.35
Mouse Gamer 10000 DPI;Periféricos;181;50.00;100.00;1;0.00;100.00
Webcam 1080p;Acessórios;181;90.00;150.00;1;36.63;113.37
Teclado Mecânico;Periféricos;182;120.00;249.90;1;47.80;202.10
Cadeira Ergonômica;Móveis;182;500.00;850.00;1;0.00;850.00
Cadeira Gamer;Móveis;183;450.00;899.90;1;0.00;899.90
Cadeira Gamer;Móveis;184;450.00;899.90;1;0.00;899.90
Cadeira Gamer;Móveis;185;450.00;899.90;1;21.39;878.51
"Monitor 24"" Full HD";Monitores;185;400.00;650.00;1;0.00;650.00
Webcam 1080p;Acessórios;186;90.00;150.00;3;0.00;450.00
Suporte para Monitor;Móveis;187;40.00;90.00;2;0.00;180.00
Cadeira Gamer;Móveis;187;450.00;899.90;1;13.99;885.91
Webcam 1080p;Acessórios;187;90.00;150.00;1;0.00;150.00
Hub USB 3.0;Acessórios;188;35.00;79.90;1;0.00;79.90
Teclado Mecânico;Periféricos;188;120.00;249.90;1;0.00;249.90
Mouse Gamer 10000 DPI;Periféricos;188;50.00;100.00;1;0.00;100.00
Mousepad Extra Large;Acessórios;189;25.00;60.00;1;18.00;42.00
Teclado Mecânico RGB;Periféricos;189;120.00;180.00;1;46.89;133.11
Cadeira Gamer;Móveis;189;450.00;899.90;2;0.00;1799.80
Suporte para Monitor;Móveis;190;40.00;90.00;1;27.00;63.00
Headset Wireless;Áudio;191;150.00;220.00;2;0.00;440.00
Webcam 1080p;Acessórios;192;90.00;150.00;1;15.73;134.27
Suporte para Monitor;Móveis;193;40.00;90.00;1;27.00;63.00
Cadeira Ergonômica;Móveis;194;500.00;850.00;1;0.00;850.00
Teclado Mecânico;Periféricos;195;120.00;249.90;1;0.00;249.90
Teclado Mecânico RGB;Periféricos;196;120.00;180.00;1;0.00;180.00
Headset Gamer;Áudio;196;95.00;199.90;1;0.00;199.90
Mouse Gamer 10000 DPI;Periféricos;197;50.00;100.00;1;7.00;93.00
Webcam Full HD;Periféricos;197;85.00;179.90;1;0.00;179.90
"Monitor 24"" Full HD";Monitores;198;400.00;650.00;1;0.00;650.00
Headset Wireless;Áudio;199;150.00;220.00;2;18.95;421.05
Headset Gamer;Áudio;200;95.00;199.90;1;0.00;199.90
Cadeira Ergonômica;Móveis;201;500.00;850.00;1;0.00;850.00
Suporte para Monitor;Móveis;202;40.00;90.00;1;0.00;90.00
"Monitor 24"" Full HD";Monitores;203;400.00;650.00;1;8.60;641.40
Mousepad Extra Large;Acessórios;204;25.00;60.00;1;0.00;60.00
"Monitor 24"" Full HD";Monitores;204;400.00;650.00;1;0.00;650.00
Cadeira Gamer;Móveis;205;450.00;899.90;1;0.00;899.90
Teclado Mecânico RGB;Periféricos;205;120.00;180.00;1;0.00;180.00
Headset Gamer;Áudio;206;95.00;199.90;1;40.03;159.87
Suporte para Monitor;Móveis;206;40.00;90.00;1;0.00;90.00
Cadeira Ergonômica;Móveis;207;500.00;850.00;1;0.00;850.00
Headset Gamer;Áudio;208;95.00;199.90;1;0.00;199.90
Teclado Mecânico;Periféricos;209;120.00;249.90;1;0.00;249.90
Suporte para Monitor;Móveis;210;40.00;90.00;1;8.33;81.67
Cadeira Ergonômica;Móveis;211;500.00;850.00;1;0.00;850.00
Headset Gamer;Áudio;211;95.00;199.90;1;12.09;187.81
Cadeira Gamer;Móveis;211;450.00;899.90;1;0.00;899.90
Headset Wireless;Áudio;212;150.00;220.00;2;27.23;412.77
Teclado Mecânico;Periféricos;213;120.00;249.90;1;0.00;249.90
Teclado Mecânico;Periféricos;214;120.00;249.90;2;0.00;499.80
Mousepad Extra Large;Acessórios;214;25.00;60.00;1;0.00;60.00
Cadeira Ergonômica;Móveis;215;500.00;850.00;2;0.00;1700.00
"Monitor 24"" Full HD";Monitores;215;400.00;650.00;1;48.48;601.52
Webcam 1080p;Acessórios;216;90.00;150.00;1;36.92;113.08
Headset Gamer;Áudio;217;95.00;199.90;3;33.13;566.57
Webcam Full HD;Periféricos;218;85.00;179.90;1;0.00;179.90
Cadeira Gamer;Móveis;218;450.00;899.90;1;0.00;899.90
Headset Gamer;Áudio;219;95.00;199.90;2;14.49;385.31
Teclado Mecânico;Periféricos;220;120.00;249.90;1;16.02;233.88
Webcam 1080p;Acessórios;220;90.00;150.00;2;0.00;300.00
Suporte para Monitor;Móveis;221;40.00;90.00;1;11.47;78.53
Cadeira Ergonômica;Móveis;222;500.00;850.00;1;15.88;834.12
Teclado Mecânico RGB;Periféricos;223;120.00;180.00;1;0.00;180.00
Webcam Full HD;Periféricos;224;85.00;179.90;1;0.00;179.90
Hub USB 3.0;Acessórios;224;35.00;79.90;1;0.00;79.90
Mousepad Extra Large;Acessórios;225;25.00;60.00;1;0.00;60.00
Suporte para Monitor;Móveis;226;40.00;90.00;1;0.00;90.00
Mouse Gamer 10000 DPI;Periféricos;227;50.00;100.00;1;0.00;100.00
Teclado Mecânico RGB;Periféricos;228;120.00;180.00;1;29.90;150.10
Webcam 1080p;Acessórios;229;90.00;150.00;1;45.00;105.00
Webcam Full HD;Periféricos;229;85.00;179.90;1;0.00;179.90
Teclado Mecânico;Periféricos;230;120.00;249.90;1;6.75;243.15
Webcam Full HD;Periféricos;231;85.00;179.90;2;46.91;312.89
Webcam 1080p;Acessórios;232;90.00;150.00;1;0.00;150.00
Webcam Full HD;Periféricos;232;85.00;179.90;1;0.00;179.90
Mouse Gamer 10000 DPI;Periféricos;233;50.00;100.00;3;0.00;300.00
Cadeira Gamer;Móveis;234;450.00;899.90;1;0.00;899.90
Webcam Full HD;Periféricos;234;85.00;179.90;1;33.31;146.59
Webcam Full HD;Periféricos;235;85.00;179.90;2;5.85;353.95
Mousepad Extra Large;Acessórios;236;25.00;60.00;2;0.00;120.00
Teclado Mecânico;Periféricos;236;120.00;249.90;2;0.00;499.80
Headset Gamer;Áudio;237;95.00;199.90;1;0.00;199.90
Headset Gamer;Áudio;238;95.00;199.90;2;0.00;399.80
Webcam 1080p;Acessórios;239;90.00;150.00;1;0.00;150.00
Teclado Mecânico;Periféricos;239;120.00;249.90;1;14.33;235.57
Cadeira Gamer;Móveis;239;450.00;899.90;1;20.70;879.20
Teclado Mecânico;Periféricos;240;120.00;249.90;1;0.00;249.90
Hub USB 3.0;Acessórios;241;35.00;79.90;1;0.00;79.90
Teclado Mecânico;Periféricos;242;120.00;249.90;1;0.00;249.90
Headset Wireless;Áudio;243;150.00;220.00;1;0.00;220.00
Cadeira Gamer;Móveis;243;450.00;899.90;1;9.51;890.39
Teclado Mecânico RGB;Periféricos;244;120.00;180.00;3;34.38;505.62
Teclado Mecânico;Periféricos;244;120.00;249.90;2;0.00;499.80
Teclado Mecânico RGB;Periféricos;245;120.00;180.00;2;30.84;329.16
"Monitor 24"" Full HD";Monitores;246;400.00;650.00;3;0.00;1950.00
Teclado Mecânico RGB;Periféricos;246;120.00;180.00;1;0.00;180.00
Webcam Full HD;Periféricos;247;85.00;179.90;1;0.00;179.90
"Monitor 24"" Full HD";Monitores;248;400.00;650.00;2;0.00;1300.00
Headset Gamer;Áudio;249;95.00;199.90;1;20.17;179.73
Webcam 1080p;Acessórios;249;90.00;150.00;1;0.00;150.00
Mouse Gamer 10000 DPI;Periféricos;250;50.00;100.00;1;30.00;70.00
Headset Wireless;Áudio;251;150.00;220.00;1;19.83;200.17
Hub USB 3.0;Acessórios;252;35.00;79.90;1;18.81;61.09
Headset Wireless;Áudio;252;150.00;220.00;1;0.00;220.00
Webcam 1080p;Acessórios;253;90.00;150.00;1;0.00;150.00
Cadeira Ergonômica;Móveis;253;500.00;850.00;1;0.00;850.00
Webcam Full HD;Periféricos;253;85.00;179.90;3;0.00;539.70
Headset Wireless;Áudio;254;150.00;220.00;1;0.00;220.00
Cadeira Gamer;Móveis;254;450.00;899.90;2;0.00;1799.80
Teclado Mecânico;Periféricos;255;120.00;249.90;2;29.15;470.65
Headset Wireless;Áudio;256;150.00;220.00;1;0.00;220.00
Teclado Mecânico;Periféricos;257;120.00;249.90;1;0.00;249.90
Webcam 1080p;Acessórios;258;90.00;150.00;2;0.00;300.00
Mouse Gamer 10000 DPI;Periféricos;259;50.00;100.00;1;30.00;70.00
Cadeira Gamer;Móveis;260;450.00;899.90;1;0.00;899.90
Mousepad Extra Large;Acessórios;261;25.00;60.00;1;0.00;60.00
Mouse Gamer 10000 DPI;Periféricos;262;50.00;100.00;3;0.00;300.00
"Monitor 24"" Full HD";Monitores;262;400.00;650.00;1;0.00;650.00
Hub USB 3.0;Acessórios;263;35.00;79.90;1;0.00;79.90
Webcam 1080p;Acessórios;264;90.00;150.00;1;0.00;150.00
Cadeira Gamer;Móveis;265;450.00;899.90;2;0.00;1799.80
Suporte para Monitor;Móveis;266;40.00;90.00;1;0.00;90.00
Teclado Mecânico;Periféricos;267;120.00;249.90;1;0.00;249.90
Hub USB 3.0;Acessórios;268;35.00;79.90;1;0.00;79.90
Headset Gamer;Áudio;269;95.00;199.90;1;7.74;192.16
Teclado Mecânico;Periféricos;269;120.00;249.90;2;0.00;499.80
Cadeira Ergonômica;Móveis;270;500.00;850.00;2;0.00;1700.00
"Monitor 24"" Full HD";Monitores;271;400.00;650.00;1;29.21;620.79
Suporte para Monitor;Móveis;272;40.00;90.00;2;0.00;180.00
Webcam 1080p;Acessórios;273;90.00;150.00;1;0.00;150.00
Headset Wireless;Áudio;274;150.00;220.00;1;0.00;220.00
Cadeira Gamer;Móveis;275;450.00;899.90;1;0.00;899.90
Teclado Mecânico RGB;Periféricos;276;120.00;180.00;1;38.37;141.63
Headset Wireless;Áudio;277;150.00;220.00;2;0.00;440.00
Mousepad Extra Large;Acessórios;277;25.00;60.00;2;0.00;120.00
Suporte para Monitor;Móveis;278;40.00;90.00;1;0.00;90.00
Mousepad Extra Large;Acessórios;279;25.00;60.00;1;0.00;60.00
Webcam Full HD;Periféricos;280;85.00;179.90;1;0.00;179.90
Headset Wireless;Áudio;281;150.00;220.00;1;0.00;220.00
Headset Gamer;Áudio;282;95.00;199.90;1;0.00;199.90
Hub USB 3.0;Acessórios;282;35.00;79.90;1;23.97;55.93
